SIK_INVNR;KAT_NR;KUENSTLERIN;TITEL;DATIERUNG;TECHNIK;MASSE;STANDORT;ORT;STANDORT_URL;FILENAME;REPRO_NACHWEIS;JAHR;TECHNIKTHESAURUS;COPYRIGHT;SIKART_URL;FARBEN
88593.01/01;306.01;Eva Aeppli;Der Hochmut, Sonne;1995 (Gesamtauflage 1994-2008);Bronze, schwarz patiniert, 3/8, Susse Fondeur, Paris (Auflage 1/8 - 8/8 und E. A. I/IV - E. A. IV/IV);35 x 19 x 28 cm;Garden of the Zodiac Old Market Omaha, seit 2000 (Exemplar 3/8);Omaha;;88593D1;Foto: Vera Mertz Mercer, Omaha;1995;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=13035662;'336666','669999','000000','336699','333333','666666','666699','330000','6699CC','330033'
88594.00/01;307;Eva Aeppli;Der Jähzorn, Mars;1993-94;Seide, Kapok, Watte, Metallstab;31 cm hoch;Privatbesitz;;;88594DS1;Foto: SIK-ISEA, Zürich (Philipp Hitz);1993;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=13031082;'FFFFFF','CCCCCC','FFFFCC','999966','CCCC99','FFCCCC','CC9999','666633','996666','333333'
88594.01/01;307.01;Eva Aeppli;Der Jähzorn, Mars;2000 (Gesamtauflage 1993-2007);Bronze, schwarz patiniert, 6/8, Susse Fondeur, Paris (Auflage 1/8 - 8/8 und E. A. I/IV - E. A. IV/IV);30,5 x 20 x 27,5 cm;Garden of the Zodiac Old Market Omaha, seit 2000 (Exemplar 6/8);Omaha;;88594D1;Foto: Vera Mertz Mercer, Omaha;2000;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=13035663;'333333','000000','669999','666666','666699','336699','336666','6699CC','330000','003333'
88595.00/01;308;Eva Aeppli;Die Völlerei, Jupiter;1993-94;Seide, Kapok, Watte, Metallstab;37,5 cm hoch;Privatbesitz;;;88595DS1;Foto: SIK-ISEA, Zürich (Philipp Hitz);1993;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=13031084;'FFFFFF','CCCCCC','FFFFCC','999966','FFCCCC','666633','CCCC99','996666','CC9999','333333'
88595.01/01;308.01;Eva Aeppli;Die Völlerei, Jupiter;2000 (Gesamtauflage 1994-2009);Bronze, schwarz patiniert, 6/8, Susse Fondeur, Paris (Auflage 1/8 - 8/8 und E. A. I/IV - E. A. IV/IV);36,5 x 23 x 27 cm;Garden of the Zodiac Old Market Omaha, seit 2000 (Exemplar 6/8);Omaha;;88595D1;Foto: Vera Mertz Mercer, Omaha;2000;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=13035664;'669999','9999CC','333333','000000','999999','000033','003300','003333','666666','330000'
88596.00/01;309;Eva Aeppli;Der Geiz, Saturn;1993-94;Seide, Kapok, Watte, Metallstab;33 cm hoch;Privatbesitz;;;88596DS1;Foto: SIK-ISEA, Zürich (Philipp Hitz);1993;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=13031085;'FFFFFF','CCCCCC','999966','666633','CC9999','FFFFCC','CCCC99','996666','FFCCCC','663333'
88596.01/01;309.01;Eva Aeppli;Der Geiz, Saturn;2000 (Gesamtauflage 1994-2007);Bronze, schwarz patiniert, 6/8, Susse Fondeur, Paris (Auflage 1/8 - 8/8 und E. A. I/IV, E. A. III/IV, E. A. IV/IV);32 x 19 x 21,5 cm;Garden of the Zodiac Old Market Omaha, seit 2000 (Exemplar 6/8);Omaha;;88596D1;Foto: Vera Mertz Mercer, Omaha;2000;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=13035669;'6699CC','000000','669999','333333','666666','336666','336699','339999','330000','99CCFF'
88597;184;Eva Aeppli;Groupe de 48;1969-1970;47 Figuren: Seide, Kapok, Watte, Samt, Metallstäbe;je ca. 200 cm hoch;Moderna Museet, Stockholm, MOMSK 200 + MOM / 2000 /21;Stockholm;www.modernamuseet.se/;8.86E+05;Foto: SIK-ISEA, Zürich;1969;Installation;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=11725951;'000000','CCCCCC','CC9999','999999','663333','330000','666633','333300','CCCC99','999966'
88598;236;Eva Aeppli;Célestine II;1977;Seide, Kapok, Watte, Samt, Metallstab;115 cm hoch (sitzend);Privatbesitz (F);;;8.86E+05;Foto: SIK-ISEA, Zürich;1977;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=11726079;'CCCCCC','000000','FFFFFF','000033','CCFFCC','003333','FFCCCC','FFFFCC','CCFFFF','999999'
88599.01/03;181.01;Eva Aeppli;Madeleine de Neuilly-sur-Seine;1968;Seide, Kapok, Watte, Samt, Metallstab;115 cm hoch (sitzend);Privatbesitz, seit 1997;;;8.86E+05;Foto: SIK-ISEA, Zürich;1968;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=11726270;'CCCCCC','000000','FFFFFF','999999','CCCCFF','330000','333333','666666','333300','9999CC'
88599.02/03;181.02;Eva Aeppli;Textile Figur;1968;Seide, Kapok, Watte, Samt, Metallstab;187 cm hoch (stehend);Privatsammlung Düsseldorf;;;88599D1;Foto: Sasa Fuis, Köln;1968;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=13046622;'333333','CCCCCC','666666','000000','999999','FFFFFF','666633','333300','CCCCFF','999966'
88599.03/03;181.03;Eva Aeppli;Textile Figur;1968;Seide, Kapok, Watte, Samt, Metallstab;185 cm hoch (stehend);Standort unbekannt;;;88599D2;Foto: SIK-ISEA, Zürich;1968;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=13046623;'FFFFFF','000000','666666','333333','CCCCCC','999999'
88600.01/04;188.01;Eva Aeppli;Zwei textile Figuren aus <I>Les cinq Roses<I>;1969-1971;Seide, Kapok, Watte, Seidengarn gestickt, Chorhemden, Seidenrosen, Metallstäbe;je 180 cm hoch (stehend);Privatbesitz;;;88600D1;Foto: Brutus Luginbühl, Bowil;1969;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12901686;'999999','CCCCCC','666666','CC9999','996666','333333','999966','CCCC99','000000','663333'
88600.02/04;188.02;Eva Aeppli;Textile Figur aus <I>Les cinq Roses<I>;1969-1971;Seide, Kapok, Watte, Seidengarn gestickt, Chorhemd, Seidenrosen, Metallstab;180 cm hoch (stehend);Privatbesitz, seit 1985;;;88600D2;Foto: Christian Baur, Basel;1969;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12901688;'999999','666666','CC9999','999966','CCCC99','996666','CC9966','333333','CCCCCC','663333'
88600.03/04;188.03;Eva Aeppli;Textile Figur aus <I>Les cinq Roses<I>;1969-1971;Seide, Kapok, Watte, Seidengarn gestickt, Chorhemd, Seidenrosen, Metallstab;180 cm hoch (stehend);Moderna Museet, Stockholm, MOM/205/128, seit 2005;Stockholm;www.modernamuseet.se/;88600CE2;Foto: Jacques Faujour, Saint-Maur-des-Fossés;1969;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12901690;'003333','999999','666666','333333','CCCCCC','CCCC99','999966','FFFFCC','99CC99','CCFFCC'
88600.04/04;188.04;Eva Aeppli;Textile Figur aus <I>Les cinq Roses<I>;1969-1971;Seide, Kapok, Samt, Seidengarn gestickt, Seidenrosen, Samt, Metallstab;180 cm hoch;Privatbesitz (GB);;;88600DS1;Foto: SIK-ISEA, Zürich (Philipp Hitz);1969;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12901691;'333333','663333','000000','000033','996633','666633','CC9966','999966','996666','330000'
88601;177;Eva Aeppli;La Table;1965-67;13 Figuren: Seide, Kapok, Watte, Wolle, Wolle und Seidengarn gestickt, Samt, Metallstäbe, Holztisch, 13 Stühle;125 x 480 x 70 cm;Museum Jean Tinguely, Basel;Stockholm;www.tinguely.ch;88601D1;Foto: Moderna Museet, Stockholm;1965;Installation;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=11726340;'333333','999966','666633','330033','CCCC99','330000','666666','663333','333300','CC9966'
88602;179;Eva Aeppli;L'Aube;1960/67;7 Figuren: Seide, Kapok, Watte, Samt, Metallstäbe. Gemälde: Öl auf Leinwand, doubliert;7 Figuren, je 120 cm hoch (sitzend), Ölgemälde 240 x 130 cm;;Wien;www.mumok.at;8.86E+05;Foto: SIK-ISEA, Zürich;1960;Installation;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=11725805;'FFFFFF','000000','999999','666633','CCFFFF','CCCCCC','666666','333333','CCCCFF','999966'
88603;148;Eva Aeppli;Niki the Tigger;1964;Öl auf Leinwand;120 x 230 cm;Privatbesitz;;;8.86E+05;Foto: SIK-ISEA, Zürich;1964;Ölmalerei;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=11724832;'CCCCCC','FFFFFF','CCCCFF','CCFFFF','999999','9999CC','FFCCFF','CC99CC','99CCCC','CCFFCC'
88604;136;Eva Aeppli;La Fête;1962;Öl auf Leinwand;130 x 195 cm;Privatbesitz, seit 1998;;;8.86E+05;Foto: SIK-ISEA, Zürich;1962;Ölmalerei;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=11724666;'993333','990000','993300','CCCCCC','333333','996666','999999','FFFFFF','330000','660000'
88605;124;Eva Aeppli;Où es-tu?;1961;Öl auf Leinwand;130 x 195 cm;Privatbesitz, ab 2012;;;8.86E+05;Foto: SIK-ISEA, Zürich;1961;Ölmalerei;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=11724752;'000000','333333','000033','333366','330033','666666','666699','FFFFFF','003333','663366'
88606;9;Eva Aeppli;Nyon;1955;Kohle auf Papier;66 x 82 cm;Privatbesitz (F);;;8.86E+05;Foto: SIK-ISEA, Zürich;1955;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=11724600;'333333','330000','333300','000000','330033','663333','666666','666633','000033','999966'
88607;21;Eva Aeppli;Narcisses III;1957;Kohle auf Papier;130 x 78 cm;Privatbesitz, seit 2006;;;8.86E+05;Foto: SIK-ISEA, Zürich;1957;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=11724628;'663333','666633','333333','666666','663366','996666','996633','330033','333300','663300'
88608;8;Eva Aeppli;Fleurs blanches;1955;Kohle auf Papier;94,5 x 40,5 cm;Privatbesitz, seit 2004;;;8.86E+05;Foto: SIK-ISEA, Zürich;1955;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=11724587;'333333','663333','666666','666633','330033','330000','000000','663366','333300','999999'
92014;313;Eva Aeppli;Hand;1981;Bronze, goldbraun patiniert, 3/27;Breite 26,5 cm;Privatbesitz (Exemplar 3/27);;;92014D1;Foto: Dobiaschofsky Auktionen AG, Bern;1981;Bronzeplastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12494149;'FFFFFF','663333','666666','666633','996666','333333','996633','999999','CCCCCC','330000'
92061;225;Eva Aeppli;Honoré;1974;Seide, Kapok, Watte, Baumwolle, Metallstab;130 x 85 x 95 cm (sitzend);Kunstmuseum Solothurn, A V 91, seit 1974;Solothurn;www.kunstmuseum-so.ch;92061D1;Foto: SIK-ISEA, Zürich;1974;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12495213;'666666','999999','333333','999966','996666','666633','CC9999','CCCCCC','CCCC99','000000'
93786;93;Eva Aeppli;Ohne Titel;1953;Seide, Samt, Wolle;38 x 48 cm;Kunstmuseum Solothurn, A 2005.5.12, seit 2005;Solothurn;www.kunstmuseum-so.ch;93786D1;Foto: Museum Jean Tinguely (Christian Baur);1953;Textilkunst;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12733997;'FFFFFF','CC9966','CCCC99','996633','CCCC66','FFCC99','999966','CCCCCC','663333','CC9999'
93787;94;Eva Aeppli;Ohne Titel;1953;Seide, Samt, Wolle;75 x 36,5 cm;Kunstmuseum Solothurn, A 2005.5.12, seit 2005;Solothurn;www.kunstmuseum-so.ch;93787D1;Foto: Museum Jean Tinguely (Christian Baur);1953;Textilkunst;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12734163;'FFFFFF','333366','333333','666666','000000','666699','663366','336666','000033','330033'
93788;95;Eva Aeppli;Ohne Titel;1955;Seide, Wolle, Samt;80 x 60 cm;Standort unbekannt;;;93788SF1;Foto: Hansjörg Stoecklin, Arisdorf;1955;Textilkunst;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12734553;'999999','CCCCCC','000000','666666','333333','FFFFFF'
93789;96;Eva Aeppli;Le Printemps;1959;Seide, Wolle, Samt;75 x 40 cm;Privatbesitz (USA);;;93789DS1;Foto: SIK-ISEA, Zürich;1959;Textilkunst;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12734728;'666666','333333','666633','999999','663333','CCCCCC','336633','999966','996666','663366'
93790;97;Eva Aeppli;Ohne Titel;1953;Lithographie auf Papier, Auflage ca. 200;38,5 x 43 cm;Privatbesitz;;;93790SC1;Foto: Hansjörg Stoecklin, Arisdorf;1953;Lithographie;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12734875;'FFFFFF','000000','333333','CCCCCC','666666','999999'
93791;98;Eva Aeppli;Anémones;1959;Lithographie auf Papier, Auflage unbekannt;44 x 31,5 cm;Kunstmuseum Solothurn, A 2005.5.1, seit 2005;Solothurn;www.kunstmuseum-so.ch;93791DS1;Foto: SIK-ISEA, Zürich;1959;Lithographie;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12735190;'333333','666666','999999','999966','CCCC99','666633','663333','996666','CC9999','CCCCCC'
93792;1;Eva Aeppli;Ohne Titel;1953;Kohle auf Papier;Masse unbekannt;Werk zerstört;;;93792SC1;Foto: Hansjörg Stoecklin, Arisdorf;1953;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12738298;'333333','CCCCCC','999999','666666','000000','FFFFFF'
93793;12;Eva Aeppli;Les Lunettes;1955;Kohle auf Papier;72,6 x 38,7 cm;Privatbesitz (F);;;93793D1;Foto: Christian Baur, Basel;1955;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12739230;'333333','666666','666633','663333','999966','996666','000000','FFFFFF','999999','330000'
93794;2;Eva Aeppli;À demain;1953;Kohle auf Papier;95 x 62 cm;Werk zerstört;;;93794SC1;Foto: Hansjörg Stoecklin, Arisdorf;1953;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12766924;'333333','000000','666666','CCCCCC','999999','FFFFFF'
93795;3;Eva Aeppli;Ohne Titel;1953;Kohle auf Papier;Masse unbekannt;Werk zerstört;;;93795DS1;Foto: SIK-ISEA, Zürich;1953;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12767246;'666666','333333','999999','CCCCCC','CCCC99','666633','CC9999','999966','663333','996666'
93796;4;Eva Aeppli;Octobre;1954;Kohle auf Papier;88 x 46 cm;Werk zerstört;;;93796SC1;Foto: Hansjörg Stoecklin, Arisdorf;1954;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12767256;'333333','000000','666666','999999','FFFFFF','CCCCCC'
93797;5;Eva Aeppli;Feuilles noires;1954;Kohle auf Papier;84 x 47 cm;Werk zerstört;;;93797SC1;Foto: Hansjörg Stoecklin, Arisdorf;1954;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12767271;'333333','666666','999999','000000','CCCCCC','FFFFFF'
93798;6;Eva Aeppli;Mille et une Nuit;1954;Kohle auf Papier;120 x 65 cm;Werk zerstört;;;93798SC1;Foto: Hansjörg Stoecklin, Arisdorf;1954;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12767286;'333333','666666','999999','000000','CCCCCC','FFFFFF'
93799;7;Eva Aeppli;Fleurs blanches III;1955;Kohle auf Papier;60 x 42 cm;Standort unbekannt;;;93799SC1;Foto: Hansjörg Stoecklin, Arisdorf;1955;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12767322;'333333','666666','000000','FFFFFF','999999','CCCCCC'
93800;10;Eva Aeppli;Gugus;1955;Kohle auf Papier;80 x 88 cm;Werk zerstört;;;93800SC1;Foto: Hansjörg Stoecklin, Arisdorf;1955;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12767347;'333333','000000','666666','999999','FFFFFF','CCCCCC'
93801;11;Eva Aeppli;Epine zéro;1955;Kohle auf Papier;100 x 130 cm;Kunstmuseum Solothurn, A 2005.5.1 und A 2005.5.4, seit 2005;Solothurn;www.kunstmuseum-so.ch;93801SC1;Foto: Hansjörg Stoecklin, Arisdorf;1955;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12767364;'333333','666666','999999','000000','CCCCCC','FFFFFF'
93802;13;Eva Aeppli;Le Voyage;1955;Kohle auf Papier;60 x 81 cm;Werk zerstört;;;93802SC1;Foto: Hansjörg Stoecklin, Arisdorf;1955;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12767806;'333333','666666','999999','000000','CCCCCC','FFFFFF'
93803;14;Eva Aeppli;Mai;1956;Kohle auf Papier;86 x 48 cm;Standort unbekannt;;;93803SC1;Foto: Hansjörg Stoecklin, Arisdorf;1956;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12767809;'666666','999999','333333','CCCCCC','FFFFFF','000000'
93804;15;Eva Aeppli;Fleurs blanches III;1956;Kohle auf Papier;60 x 70 cm;Privatbesitz (USA);;;93804SC1;Foto: Hansjörg Stoecklin, Arisdorf;1956;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12767815;'333333','666666','000000','999999','CCCCCC','FFFFFF'
93805;16;Eva Aeppli;Selbstportrait;1956;Kohle auf Papier;130 x 195 cm;Privatbesitz;;;93805SC1;Foto: Hansjörg Stoecklin, Arisdorf;1956;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12767824;'999999','666666','333333','CCCCCC','000000','FFFFFF'
93806;19;Eva Aeppli;La Gueule de Bois;2.1957;Kohle auf Papier;98,5 x 43,5 cm;Privatbesitz, seit 2009;;;93806SC1;Foto: Hansjörg Stoecklin, Arisdorf;1957;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12767828;'333333','000000','666666','999999','FFFFFF','CCCCCC'
93807;20;Eva Aeppli;Frühling;1957;Kohle auf Papier;36 x 22 cm;Privatbesitz, seit 1994;;;93807CE1;Foto: Pascal Hegner, Solothurn;1957;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12767836;'666633','999966','666666','996666','333333','330000','333300','663333','000000','999999'
93808;48;Eva Aeppli;Ohne Titel;1958;Kohle auf Papier;je 114 x 42 cm;Werk zerstört;;;93808DS1;Foto: SIK-ISEA, Zürich (Philipp Hitz);1958;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12767842;'333333','666666','999999','666633','FFFFFF','663333','CCCCCC','FFFFCC','999966','996666'
93809.01/08;22.01;Eva Aeppli;Le Strip-Tease;1957;Kohle auf Papier;114 x 42 cm;Moderna Museet, Stockholm, MOMB 185: A, seit 1993;Stockholm;www.modernamuseet.se/;93809D1;Foto: Moderna Museet, Stockholm;1957;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12767846;'666633','666666','663333','333333','996666','999966','CCCC99','CC9999','999999','FFCCCC'
93809.02/08;22.02;Eva Aeppli;Le Strip-Tease;1957;Kohle auf Papier;114 x 42 cm;Moderna Museet, Stockholm, MOMB 185: B, seit 1993;Stockholm;www.modernamuseet.se/;93809D2;Foto: Moderna Museet, Stockholm;1957;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12901649;'666633','333333','666666','663333','999966','996666','CCCC99','999999','CC9999','FFCCCC'
93809.03/08;22.03;Eva Aeppli;Le Strip-Tease;1957;Kohle auf Papier;114 x 42 cm;Moderna Museet, Stockholm, MOMB 185: C, seit 1993;Stockholm;www.modernamuseet.se/;93809D3;Foto: Moderna Museet, Stockholm;1957;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12901650;'666633','666666','996666','663333','999966','333333','CCCC99','CC9999','FFCC99','999999'
93809.04/08;22.04;Eva Aeppli;Le Strip-Tease;1957;Kohle auf Papier;114 x 42 cm;Moderna Museet, Stockholm, MOMB 185: D, seit 1993;Stockholm;www.modernamuseet.se/;93809D4;Foto: Moderna Museet, Stockholm;1957;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12901653;'333333','666633','663333','666666','999966','CC9999','996666','CCCC99','999999','333300'
